warehouse_code,product_code,size_code,constrained_target_inv_qty,available_inv_qty,inventory_lower_limit,inventory_upper_limit
STOREM201,T5ABC33874,M,1,0,1,
STOREM201,T5ABC33874,S,1,0,1,
STOREM201,T5ABC33874,XS,1,0,1,
STOREM205,T5ABC12345,L,1,1,1,
STOREM205,T5ABC12345,M,2,2,1,
STOREM205,T5ABC12345,S,1,1,1,
STOREM205,T5ABC12345,XS,1,0,1,
STORE011,T5ABC33874,L,1,0,1,
STORE011,T5ABC33874,M,1,0,1,
STORE011,T5ABC33874,S,1,0,1,
STORE011,T5ABC33874,XS,1,0,1,
STORE013,T5ABC33874,L,1,0,1,
STORE013,T5ABC33874,M,1,0,1,
STORE013,T5ABC33874,S,1,0,1,
STORE013,T5ABC33874,XS,1,0,1,
STORE040,T5ABC33874,L,1,0,1,
STORE040,T5ABC33874,M,1,0,1,
STORE040,T5ABC33874,S,1,0,1,
STORE040,T5ABC33874,XS,1,1,1,
STOREM030,T5ABD07499,L,1,0,1,
STOREM030,T5ABD07499,M,1,1,1,
STOREM030,T5ABD07499,S,1,0,1,
STOREM030,T5ABD07499,XL,1,0,1,
STOREM030,T5ABC33874,L,1,1,1,
STOREM030,T5ABC33874,M,1,0,1,
STOREM030,T5ABC33874,S,2,0,1,
STOREM030,T5ABC33874,XS,1,1,1,
STOREM128,T5ABC33874,M,1,0,1,
STOREM128,T5ABC33874,S,1,0,1,
STOREM128,T5ABC33874,XS,1,0,1,
STOREM161,T5ABC33874,L,1,0,1,
STOREM161,T5ABC33874,M,1,1,1,
STOREM161,T5ABC33874,S,1,1,1,
STOREM161,T5ABC33874,XS,1,1,1,
STOREM162,T5ABC33874,L,1,0,1,
STOREM162,T5ABC33874,M,1,1,1,
STOREM162,T5ABC33874,S,1,0,1,
STOREM162,T5ABC33874,XS,1,0,1,
STORE007,T5ABC33874,L,1,0,1,
STORE007,T5ABC33874,M,1,0,1,
STORE007,T5ABC33874,S,1,1,1,
STORE022,T5ABC33874,L,1,0,1,
STORE022,T5ABC33874,M,1,0,1,
STORE022,T5ABC33874,S,1,0,1,
STORE022,T5ABC33874,XS,1,0,1,
STORE041,T5ABC33874,L,1,0,1,
STORE041,T5ABC33874,M,1,0,1,
STORE041,T5ABC33874,S,1,0,1,
STORE041,T5ABC33874,XS,1,0,1,
STOREM016,T5ABC33874,L,1,0,1,
STOREM016,T5ABC33874,M,1,0,1,
STOREM016,T5ABC33874,S,1,0,1,
STOREM016,T5ABC33874,XS,1,0,1,
STOREM032,T5ABC33874,M,1,0,1,
STOREM032,T5ABC33874,S,1,0,1,
STOREM032,T5ABC33874,XS,1,1,1,
STOREM069,T5ABC33874,L,1,1,1,
STOREM069,T5ABC33874,M,1,0,1,
STOREM069,T5ABC33874,S,1,1,1,
